title,author,rating,rating_count,description,isbn,image,url_from_jsonld,book_url,pages,published_year,language,genres
"Divergent (Divergent, #1)",Veronica Roth,4.13,4389498,,9780062024039,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,,https://www.goodreads.com/book/show/13335037-divergent,487.0,,,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction"
Les Misérables,Victor Hugo,4.21,845250,,9780451525260,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280.jpg,,https://www.goodreads.com/book/show/24280.Les_Mis_rables,1463.0,,,"Classics, Fiction, Historical Fiction, Literature, France"
Memoirs of a Geisha,Arthur Golden,4.16,2113180,,9781400096893,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,503.0,,,"Fiction, Historical Fiction, Romance, Classics, Historical"
The Alchemist,Paulo Coelho,3.92,3584224,,9780061122415,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865.jpg,,https://www.goodreads.com/book/show/865.The_Alchemist,197.0,,,"Fiction, Classics, Fantasy, Philosophy, Self Help"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.33,1116658,,9780451528827,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,320.0,,,"Classics, Fiction, Young Adult, Historical Fiction, Childrens"
Lord of the Flies,William Golding,3.7,3209108,,9780140283334,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg,,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,182.0,,,"Classics, Fiction, Young Adult, School, Dystopia"
Romeo and Juliet,William Shakespeare,3.74,2827910,,9780743477116,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135.jpg,,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,281.0,,,"Classics, Plays, Fiction, Romance, School"
Brave New World,Aldous Huxley,3.99,2083398,,9780060929879,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,,https://www.goodreads.com/book/show/5129.Brave_New_World,288.0,,,"Classics, Fiction, Science Fiction, Dystopia, Literature"
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker&apos;s Guide to the Galaxy, #1)",Douglas Adams,4.22,2020690,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,216.0,,,"Science Fiction, Fiction, Classics, Humor, Fantasy"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2172493,,9781416914280,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,,https://www.goodreads.com/book/show/256683.City_of_Bones,485.0,,,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy"
The Help,Kathryn Stockett,4.47,3027931,,9780399155345,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024.jpg,,https://www.goodreads.com/book/show/4667024-the-help,451.0,,,"Fiction, Historical Fiction, Book Club, Historical, Classics"
Dracula,Bram Stoker,4.02,1481682,,9780393970128,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245.jpg,,https://www.goodreads.com/book/show/17245.Dracula,488.0,,,"Classics, Horror, Fiction, Fantasy, Gothic"
Fahrenheit 451,Ray Bradbury,3.97,2850088,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,,https://www.goodreads.com/book/show/13079982-fahrenheit-451,249.0,,,"Classics, Fiction, Science Fiction, Dystopia, School"
Charlotte’s Web,E.B. White,4.21,2051294,,9780064410939,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,184.0,,,"Classics, Fiction, Childrens, Fantasy, Young Adult"
1984,George Orwell,4.2,5487289,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg,,https://www.goodreads.com/book/show/40961427-1984,298.0,,,"Classics, Fiction, Science Fiction, Dystopia, Literature"
Of Mice and Men,John Steinbeck,3.9,2845196,,9780142000670,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg,,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,107.0,,,"Classics, Fiction, School, Historical Fiction, Literature"
