title,author,rating,rating_count,description,isbn,image,book_url,pages,published_year,language,genres,source
Dracula,Bram Stoker,4.02,1481682.0,,9780393970128.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245.jpg,https://www.goodreads.com/book/show/17245.Dracula,488.0,,,"Classics, Horror, Fiction, Fantasy, Gothic",web_scraping
Fahrenheit 451,Ray Bradbury,3.97,2850088.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,https://www.goodreads.com/book/show/13079982-fahrenheit-451,249.0,,,"Classics, Fiction, Science Fiction, Dystopia, School",web_scraping
Charlotte’s Web,E.B. White,4.21,2051294.0,,9780064410939.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,184.0,,,"Classics, Fiction, Childrens, Fantasy, Young Adult",web_scraping
1984,George Orwell,4.2,5487289.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg,https://www.goodreads.com/book/show/40961427-1984,298.0,,,"Classics, Fiction, Science Fiction, Dystopia, Literature",web_scraping
Of Mice and Men,John Steinbeck,3.9,2845196.0,,9780142000670.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,107.0,,,"Classics, Fiction, School, Historical Fiction, Literature",web_scraping
"Ender’s Game (Ender&apos;s Saga, #1)",Orson Scott Card,4.31,1475997.0,,9780812550702.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,https://www.goodreads.com/book/show/375802.Ender_s_Game,324.0,,,"Science Fiction, Fiction, Young Adult, Fantasy, Classics",web_scraping
The Catcher in the Rye,J.D. Salinger,3.8,3903212.0,,9780316769174.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,277.0,,,"Classics, Fiction, Young Adult, Literature, School",web_scraping
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,2468085.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg,https://www.goodreads.com/book/show/1934.Little_Women,449.0,,,"Classics, Fiction, Historical Fiction, Young Adult, Romance",web_scraping
One Hundred Years of Solitude,Gabriel García Márquez,4.12,1108438.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,417.0,,,"Classics, Fiction, Magical Realism, Fantasy, Literature",web_scraping
A Thousand Splendid Suns,Khaled Hosseini,4.46,1741724.0,,9781594489501.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029.jpg,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,372.0,,,"Fiction, Historical Fiction, Book Club, Contemporary, Historical",web_scraping
The Outsiders,S.E. Hinton,4.15,1610401.0,,9780670532575.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg,https://www.goodreads.com/book/show/231804.The_Outsiders,208.0,,,"Classics, Young Adult, Fiction, School, Read For School",web_scraping
The Secret Garden,Frances Hodgson Burnett,4.17,1299620.0,,9780517189603.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998.jpg,https://www.goodreads.com/book/show/2998.The_Secret_Garden,331.0,,,"Classics, Fiction, Childrens, Young Adult, Historical Fiction",web_scraping
The Princess Bride,William Goldman,4.27,949200.0,,9780345418265.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,https://www.goodreads.com/book/show/21787.The_Princess_Bride,429.0,,,"Fantasy, Classics, Fiction, Romance, Humor",web_scraping
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2740618.0,,9780553588484.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,835.0,,,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult",web_scraping
The Time Traveler&apos;s Wife,Audrey Niffenegger,4.0,1859366.0,,9781939126016.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684.jpg,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,537.0,,,"Fiction, Romance, Fantasy, Time Travel, Science Fiction",web_scraping
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4119236.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,759.0,,,"Fantasy, Young Adult, Fiction, Harry Potter, Magic",web_scraping
The Odyssey,Homer,3.83,1196754.0,,9780143039952.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381.jpg,https://www.goodreads.com/book/show/1381.The_Odyssey,541.0,,,"Classics, Fiction, Poetry, Mythology, Fantasy",web_scraping
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.91,1899902.0,,9780143131847.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,https://www.goodreads.com/book/show/35031085-frankenstein,260.0,,,"Classics, Horror, Fiction, Science Fiction, Gothic",web_scraping
"The Handmaid’s Tale (The Handmaid&apos;s Tale, #1)",Margaret Atwood,4.15,2434684.0,,9780385490818.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,311.0,,,"Fiction, Classics, Dystopia, Science Fiction, Feminism",web_scraping
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L&apos;Engle,3.97,1288069.0,,9781250153272.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,218.0,,,"Fantasy, Fiction, Classics, Young Adult, Science Fiction",web_scraping
The Kite Runner,Khaled Hosseini,4.36,3502841.0,,9781594631931.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203.jpg,https://www.goodreads.com/book/show/77203.The_Kite_Runner,371.0,,,"Fiction, Historical Fiction, Classics, Contemporary, Book Club",web_scraping
"The Giver (The Giver, #1)",Lois Lowry,4.12,2815951.0,,9780385732550.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,https://www.goodreads.com/book/show/3636.The_Giver,208.0,,,"Young Adult, Fiction, Classics, Dystopia, Science Fiction",web_scraping
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4858889.0,,9780439655484.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,547.0,,,"Fantasy, Fiction, Young Adult, Harry Potter, Magic",web_scraping
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3454590.0,,9780670069019.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135.jpg,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,480.0,,,"Fiction, Mystery, Thriller, Crime, Mystery Thriller",web_scraping
"Dune (Dune, #1)",Frank Herbert,4.29,1632856.0,,9780593099322.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,https://www.goodreads.com/book/show/44767458-dune,658.0,,,"Science Fiction, Fiction, Fantasy, Classics, Audiobook",web_scraping
Where the Wild Things Are,Maurice Sendak,4.26,1065786.0,,9780099408390.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,38.0,,,"Childrens, Picture Books, Classics, Fiction, Fantasy",web_scraping
Green Eggs and Ham,Dr. Seuss,4.32,848579.0,,9780394800165.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772.jpg,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,64.0,,,"Childrens, Picture Books, Classics, Fiction, Poetry",web_scraping
The Lovely Bones,Alice Sebold,3.86,2464611.0,,9780316166683.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938.jpg,https://www.goodreads.com/book/show/12232938-the-lovely-bones,372.0,,,"Fiction, Mystery, Young Adult, Contemporary, Fantasy",web_scraping
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,3.83,1338646.0,,9780142437179.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956.jpg,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,327.0,,,"Classics, Fiction, Historical Fiction, Adventure, Literature",web_scraping
Life of Pi,Yann Martel,3.94,1756422.0,,9780770430078.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214.jpg,https://www.goodreads.com/book/show/4214.Life_of_Pi,460.0,,,"Fiction, Fantasy, Classics, Book Club, Adventure",web_scraping
Lolita,Vladimir Nabokov,3.87,948308.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg,https://www.goodreads.com/book/show/7604.Lolita,368.0,,,"Classics, Fiction, Literature, Russia, Novels",web_scraping
A Tale of Two Cities,Charles Dickens,3.88,1014389.0,,9780141439600.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,489.0,,,"Classics, Fiction, Historical Fiction, Literature, Historical",web_scraping
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1486630.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,275.0,,,"Classics, Fiction, Science Fiction, Historical Fiction, War",web_scraping
The Bell Jar,Sylvia Plath,4.05,1228729.0,,9780571268863.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg,https://www.goodreads.com/book/show/6514.The_Bell_Jar,294.0,,,"Classics, Fiction, Feminism, Mental Health, Psychology",web_scraping
