Genre,Frequency
German Historical fiction,1
Dwarves,1
evil,1
Technological innovations,1
austin osman spare,1
Devil,1
pan,1
psychiatric nursing,1
Charlie Bucket (Fictitious character),1
Alan Grant (Fictitious character),1
Christian Apologetics,1
Physicians in fiction,1
psychological,1
classic fiction,1
Andamanese,1
Waterloo,1
Battle of (Belgium : 1815) fast (OCoLC)fst01172689,1
Accident victims,1
American literature,1
Conspiracies,1
Bombings,1
Allegory,1
medical novels,1
Allegories,1
Belgians in fiction,1
Peter (Fictitious character),1
Organized crime,1
Self-experimentation in medicine in fiction,1
Gravitation,1
France in fiction,1
Older men in fiction,1
short stories,1
Detective and mystery fiction,1
Chief Inspector Japp (Fictitious character),1
Men,1
Societies and clubs,1
Dynamics of a particle,1
Mechanics,1
Villages,1
Lord Wimsey,1
Peloponnesian War (Greece : 431-404 B.C.) fast (OCoLC)fst01353967,1
Space warfare,1
Time travel,1
Greek Inscriptions,1
Ancient Geography,1
Middle-aged men,1
impulse,1
responsibility,1
short story,1
Horses,1
Horse,1
classics,1
Haunted houses in fiction,1
Haunted houses,1
Avaricia,1
Chimney sweeps,1
Robin hood (legendary character),1
series: Twilight,1
Pine,1
Sex customs,1
Plays / Drama,1
Neanderthals,1
shamanism,1
English literature: Shakespeare criticism,1
Tea,1
Japanese tea ceremony,1
Superstition,1
British and irish drama (dramatic works by one author),1
sign language,1
performing arts,1
mistaken identities,1
New Thought,1
Widowers,1
Verschollenheit,1
Muerte,1
1797-1851,1
Sexual intercourse,1
Translations into French,1
Paraphilias,1
Frankenstein's monster,1
education,1
Women's rights,1
Monarchy,1
Chinese language materials,1
Chinese Philosophy,1
Regicides,1
83?-30 B.C.,1
Latin Epic poetry,1
Aeneas (Legendary character),1
Shelley,1
Filosofie,1
mary wollstonecraft,1
Semantics,1
Criminal psychology,1
Mothers and sons,1
Redemption,1
Good and evil,1
Hermanas,1
narrative poetry,1
busts,1
Danish,1
English Bible plays,1
Translations from Bengali,1
Bengali poetry,1
Paradise,1
Heaven,1
Economic conditions,1
Authorship,1
Spain),1
España),1
Sex,1
Alhambra,1
French,1
supernatural,1
Odysseus (Greek mythology),1
Runaway husbands,1
Parodies,1
flashback,1
American poetry,1
Wives,1
Romance Frances,1
literary fiction,1
imitations,1
Death of a Salesman,1
Epic poetry,1
French Detective and mystery stories,1
pills,1
dope,1
Aphorisms and apothegms,1
Twins,1
Courtship,1
great britain,1
victor,1
Rāma (Hindu deity),1
Community life,1
French Fables,1
literature,1
coming of age,1
Coal miners,1
Strikes and lockouts,1
English Spy stories,1
Women pioneers,1
California,1
San francisco (calif.),1
Autobiographical fiction,1
Relaciones hombre-mujer,1
Prehistoric peoples,1
demonology,1
Discworld (Imaginary place),1
Metaphysics,1
Immigrants in fiction,1
succubus,1
adventure fiction,1
Communal living,1
fairies,1
Eoin Colfer,1
Artemis Fowl,1
masculinity,1
20th century literature,1
anne (fictitious character),1
corporate espionage,1
American fiction,1
Prince edward island,1
mystery fiction,1
dichogamy,1
funerals,1
bar examinations,1
Certified Public Accountants,1
French fiction,1
Smugglers,1
Hanumān (Hindu deity) in literature,1
Stowaways,1
Ship captains,1
Clergy,1
Military art and science,1
Sci-fi,1
Democracy,1
American government,1
Early America,1
Moneylenders,1
Quentin Blake,1
Roald Dahl,1
Frankenstein,1
Ancient History,1
Sex role,1
Science politique,1
The State,1
Sealing ships,1
Electra (Greek mythology),1
Agamemnon (Greek mythology),1
ritual,1
Life on other planets,1
Psychohistory,1
death row inmates,1
Teen & Young Adult Social Issues,1
Teen & Young Adult Historical Fiction,1
Teen & Young Adult Fiction,1
Forests and forestry,1
Illustrations,1
computers,1
Arranged marriage,1
supercomputers,1
smear campaigns,1
Litterature francaise,1
Animal welfare,1
Nursery rhymes,1
Sophists (Greek philosophy),1
Governesses,1
Alegorical fiction,1
Historias de amor,1
Vida familiar,1
Novela peruana,1
Puppets,1
hieros gamos,1
Spiritual Fiction,1
Literature: Classics,1
Russian,1
Open Library staff picks,1
bombing of Dresden,1
American science fiction,1
Ebenzer Scrooge (Fictitious character),1
Ghost stories,1
Ohio,1
African American History,1
Monasticismo y vida religiosa,1
Jewelry theft,1
Alice (fictitious character : carroll),1
East Indians,1
futurology,1
mires,1
English Civil War,1
crime novel,1
Monsters,1
Bears,1
Fathers and sons,1
The Chronicles of Narnia,1
The Voyage of the Dawn Treader,1
Narnia,1
Jeunes filles,1
Polar bears,1
Political theology,1
Series,1
Miss Marple,1
invisibility,1
Novela,1
Battle of Five Armies,1
Arkenstone,1
Johanna Spyri,1
Russian Empire,1
Adapted for Television,1
Internet Archive Wishlist,1
friendship,1
adventure,1
Senses and sensation,1
school stories,1
Marriage,1
Cousins,1
richard (fictitious character),1
Hannay,1
Pueblos prehistóricos,1
Conscience,1
ghost,1
Shirley Temple,1
Movie tie-in,1
White Ship,1
Orcs,1
Interpersonal relations,1
Aventures,1
oppression,1
starvation,1
severe poverty,1
hobbits,1
Glacial epoch,1
The Anarchy,1
Ents,1
Social classes,1
Single women,1
amyl nitrate,1
catalepsy,1
Battle of Lincoln,1
Family chronicles,1
censorship,1
surveillance,1
dementors,1
Hugo Award Winner,1
antimatter,1
ambigrams,1
heparin,1
High schools,1
award:hugo_award=1970,1
teen fiction,1
Action/Adventure,1
P.I.,1
Private investigator,1
Germany,1
Newbery Medal,1
sci-fi,1
